journalist,articles_num,mean_views_num
გიორგი თვალაბეიშვილი,9504,132
ლევან ახალაია,5431,645
ქეთი ჩოხელი,5282,526
მერაბ მამულაშვილი,5097,175
თეონა მანაგაძე,4569,367
გივი ბარამიძე,3612,461
მარიამ ბერძენიშვილი,3120,417
თამთა რუხაძე,2926,436
გვანცა ფოცხვერია,2576,361
სანდრო ჯუფალაკიანი,2550,685
სალომე თორაძე,2227,391
ანა ბროლაძე,2112,630
მანანა დევაძე,1980,360
მერაბ წულუკიძე,1961,486
რამაზ ხატიაშვილი,1812,210
მიხეილ ჭაბუკაშვილი,1741,2918
ნიკოლოზ ბერაძე,1622,64
დავით კუჭავა,1585,62
ირმა ჭოლაძე,1435,703
აკაკი შენგელია,1435,687
ხატია ჯამალაშვილი,1375,260
ნატო ბერულავა,1346,460
თამარ ნადარეიშვილი,1323,450
რეზი ხუციშვილი,1261,714
ეკატერინე გაფრინდაშვილი,1241,682
თეა აბსარიძე,1212,435
თამარ წიკლაური,1192,455
ლიკა ხურციძე,1099,502
ჟანა დიდებაშვილი,1097,525
გიორგი კობერიძე,1082,528
ელიტა ანდღულაძე,1019,442
მაკა არჩევნიშვილი,1008,359
თეა ბითაძე,976,1020
ელენე ბილიხოძე,840,341
ლუკა ჭოჭუა,827,560
თათია კუჭუხიძე,797,488
ნინო ფისაძე,797,612
სალომე ქოქიაშვილი,795,402
ქეთევან ქარდავა,788,496
თათია ბუხრაშვილი,747,419
ნათია ქენქაძე,743,724
რუსუდან ლოლაძე,731,610
ვაკო ორმოცაძე,728,433
თეონა ხუბულავა,670,563
ქეთი თუთბერიძე,620,449
ხათუნა გაგნიძე,607,595
მაია ბუთბაია,588,1009
ნათია ტატურაშვილი,585,530
ლაშა მიქაძე,578,514
ნინო ფაცურია,569,297
მარიამ სეთურიძე,553,681
თათია ტაბეშაძე,549,457
შალვა ჯოხაძე,539,1522
სოფიო დემეტრაშვილი,538,371
მარიამ აფციაური,535,700
თამარ ელისაშვილი,518,804
ალექსანდრე ქურხული,513,128
გენო ოსიყმაშვილი,508,858
ლიკა ალელიშვილი,503,648
მაკა ლაშხია,489,741
მარიამ მენაბდე,482,315
ეკატერინე კოპალიანი,473,599
ილია კილაძე,437,347
მანანა გიგინეიშვილი,408,402
მარიამ რუხაძე,401,518
დავით ბანანაშვილი,399,134
ეთა მამალაშვილი,394,334
ნინო გაბელია,379,224
ლიზა ციციშვილი,362,592
მიხეილ ნიკოლეიშვილი,345,444
სალომე სილაგაძე,322,436
თაკო დანელია,317,1420
თეო ბარბაქაძე,311,461
თათია ჩავლეშვილი,299,596
ლიზა ზუბაშვილი,277,397
ქეთი ქაშაკაშვილი,277,287
გურამ როგავა,274,845
მირიან მელაძე,269,1820
ირაკლი გედენიძე,261,1902
გიორგი გიგანი,260,587
ხატია ალადაშვილი,252,153
თეო გონგლაძე,250,728
თათია მაყაშვილი,203,367
შორენა ხვიჩია,197,541
მარიამ ქურდიანი,195,553
მარიამ შალიკაშვილი,192,944
მაკა ხარაზიშვილი,185,527
ნიკა მუხიგულაშვილი,168,499
თეონა ნოზაძე,148,1657
ანი ფაცია,146,630
მაია ბოკერია,141,484
ინგა კაკულია,135,428
ლევან ღუდუშაური,129,809
ნოდარ ჩაჩუა,126,886
თამარ პატატიშვილი,120,327
გეგი კიკაბიძე,102,221
გიორგი ურუშაძე,99,2891
სალომე სორდია,97,452
თამარ ყულუმბეგაშვილი,94,562
ანა მეზვრიშვილი,86,329
ზურაბ ქურციკიძე,84,725
ილია თავბერიძე,83,1043
ნინო ექვთიმიშვილი,81,1578
თამარ გოგესაშვილი,77,624
თამარ ბარაბაძე,72,1656
ქეთო სვანაძე,68,2451
ქეთევან ბერაია,68,635
მარიამ ცარელაშვილი,67,869
ინგა შუბითიძე,66,673
გიორგი იდუკაშვილი,62,440
დავით ბანცაძე,52,868
გიგა გვენცაძე,45,100
ოთარ გიორგაძე,42,834
გვანცა გიორგაძე,33,646
თამარ კენკიშვილი,25,1077
ნატალია ნანიტაშვილი,24,807
მაკა გაფრინდაშვილი,24,432
სალომე ელისაბედაშვილი,19,2489
ნინო ონიანი,18,200
დესი ვარდოსანიძე,16,443
მაგდა ჩაჩუა,16,1491
ლალი მაჭანკალაძე,15,677
გიორგი მანჯავიძე,14,839
ნინუცა კახნიაური,12,1646
რატი ხვისტანი,12,1176
სოფო მთივლიშვილი,10,613